,,Acc,Acc,Acc,Acc,Acc
,,min,max,median,std,mean
real time,real time,,,,,
26 days,00:00:00,0.00500164341974596,56670.509999170834,386.3760663803314,1128.6050012477099,682.4495808649465
26 days,01:00:00,0.00024213686265284196,58350.723370094114,569.5604263670457,1662.7871110019164,1066.4684413820646
26 days,02:00:00,0.0008389500427483654,60952.73379276326,452.53358101669164,1023.1186064310237,756.7919175809182
26 days,03:00:00,0.004916116832646367,58247.721305988045,432.18270325225626,1153.2350869466397,764.397496071108
26 days,04:00:00,0.023253887751252478,54805.25893679117,547.3060510289561,1488.6759883744492,950.4454804749488
26 days,05:00:00,0.0007755044578061643,11878.472236429814,45.82336001464223,794.917131359714,366.07890188877707
26 days,06:00:00,0.0004363939843869957,12133.898958397409,35.4820056786827,542.2294266380474,174.30212973680077
26 days,07:00:00,8.248220069617673e-05,19179.142545406226,33.4549258870436,612.4582063984742,230.25514397347416
26 days,08:00:00,0.0004999803531973157,6117.949052665339,28.045694891838593,294.3934063946018,94.14848847510845
26 days,09:00:00,0.0005625700778182363,35701.296215117865,48.76304624806244,826.4939918966093,407.34380493224563
26 days,10:00:00,1.216158034367254e-05,11755.133824661983,28.088796466623535,386.55805618050886,106.73277659631633
26 days,11:00:00,0.0003247458971600281,23550.63328101057,28.601481595154837,470.4485220864517,144.45731296594576
26 days,12:00:00,0.00044882114980282495,46928.620369049415,40.79348570775937,518.5572409608849,206.1436844973062
26 days,13:00:00,0.00022443183934228728,15160.518318130586,33.128836799179226,375.2071434220006,128.47548836015588
26 days,14:00:00,0.00028220476133355987,15134.409067742052,27.385501914678684,375.8283984564333,100.70952521125136
26 days,15:00:00,9.617914201953681e-05,10864.119488351553,43.79590784388898,561.7036558326633,259.2798155972783
26 days,16:00:00,0.00010632362091200775,10316.710232424135,29.605101046179243,413.9150268003066,130.0790673650295
26 days,17:00:00,0.0017090300959807792,11688.508372576229,84.12164521406294,615.372507289714,346.2141294851155
26 days,18:00:00,0.002041928549260774,45917.038378239646,360.5622806192112,1088.8349635625284,758.8982946819746
26 days,19:00:00,0.0007455716277036117,51352.451882165486,115.36739396318353,642.7857320435098,249.88209471794303
26 days,20:00:00,0.019313458127726335,61904.07654829881,779.7408292144419,1611.597545091288,1205.5934819781576
26 days,21:00:00,0.0009215982609021012,62561.31559725768,368.2278063206645,1278.5044599288212,750.3796303027161
26 days,22:00:00,0.002781475199299166,61860.70765545025,384.06973898209344,1641.6388095780194,822.5223820341772
26 days,23:00:00,0.0023603607469340204,61185.549393977286,431.0184667793628,1746.6942876836142,906.8397987514253
27 days,00:00:00,0.0004052102876812569,61629.18481802727,809.7559047706532,1564.0587730097016,1195.1755811271896
27 days,01:00:00,0.0005945925586274825,47799.65375787848,158.32174748225225,862.868431082582,500.3915970219681
27 days,02:00:00,0.0016692667195457034,61791.583498850385,598.6076174343043,1105.4813899517899,929.6741425368
27 days,03:00:00,0.0015421509351654095,57272.97853293846,764.3056465087561,1209.6895555533667,1100.5634412899556
27 days,04:00:00,0.0007271831291291164,47113.7742177077,419.99571326629894,1234.5886768064627,806.5557177846782
27 days,05:00:00,0.0001345553362739338,11141.534711983095,28.88564577039442,524.5353200554725,155.0193680163634
27 days,06:00:00,0.0005858002191416745,49366.944368289216,44.29178798615419,744.3555004727295,333.29057320576686
27 days,07:00:00,0.0007260698316997605,58998.50539326291,36.51445909711663,666.5027707155194,239.16709574471594
27 days,08:00:00,0.00031117958076265495,9213.883513926128,27.521263023412757,489.8726585782006,143.18341994047987
